Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       , Gov. Gain   , EC Voltage , Motor Temp.
1.5501,5.49,12.11,0.391,2.6,129.3,9916,0,5.33,0,
1.5736,11.373,12.11,0.651,3.9,129.3,8388,0,5.33,0,
1.5736,10.588,12.11,0.781,5.2,129.3,8636,0,5.33,0,
1.5893,16.471,12.11,0.911,6.5,129.3,9301,0,5.33,0,
1.6285,26.667,12.11,1.823,23.2,134.8,14139,0,5.33,0,
1.6598,33.725,11.98,1.693,32.3,134.8,18904,0,5.33,0,
1.6833,40.784,11.72,1.302,38.7,134.8,24990,0,5.33,0,
1.7147,47.843,11.59,1.172,42.6,134.8,30025,0,5.33,0,
1.7304,52.549,11.33,0.781,51.6,129.3,37325,0,5.33,0,
1.7852,66.667,11.46,1.172,67.1,134.8,45777,0,5.33,0,
1.8401,82.353,13.15,2.864,83.9,134.8,56090,0,5.37,0,
1.8714,89.804,12.89,0.911,107.1,134.8,64815,0,5.33,0,
1.8714,89.412,12.76,2.083,96.8,134.8,66073,0,5.33,0,
1.8714,89.804,12.76,1.562,74.8,134.8,66721,0,5.33,0,
1.8714,89.804,12.63,1.953,71,134.8,68743,0,5.33,0,
1.8558,85.882,12.63,1.693,61.9,134.8,68975,0,5.33,0,
1.8636,87.843,13.02,0.911,64.5,134.8,70891,0,5.33,0,
1.8636,88.235,12.37,1.432,59.4,134.8,73706,0,5.33,0,
1.8714,89.804,12.63,1.693,60.6,134.8,72657,0,5.33,0,
1.8636,88.627,12.63,1.693,55.5,134.8,73178,0,5.33,0,
1.8714,89.412,12.24,1.302,56.8,134.8,74786,0,5.33,0,
1.8714,89.02,12.5,0.521,52.9,134.8,76182,0,5.33,0,
1.8714,89.804,12.37,1.302,52.9,134.8,75061,0,5.33,0,
1.8714,89.412,12.5,1.432,51.6,134.8,75338,0,5.33,0,
1.8714,89.412,12.24,1.562,52.9,134.8,75061,0,5.33,0,
1.8714,89.804,12.63,1.562,52.9,134.8,75061,0,5.33,0,
1.5188,0.392,11.72,0.391,38.7,134.8,73706,0,5.33,0,
1.5109,0.392,11.98,0,2.6,134.8,67382,0,5.33,0,
1.1661,49.804,11.98,0,-3.9,134.8,43532,0,5.33,0,
1.1661,49.804,11.98,0,-1.3,134.8,0,0,5.33,0,
1.1661,49.804,11.98,0,-2.6,134.8,0,0,5.33,0,
1.1661,49.804,11.98,0,-1.3,134.8,0,0,5.33,0,
1.5031,0.392,11.98,0,-2.6,134.8,12906,0,5.33,0,
1.5109,0.392,11.98,0,-2.6,134.8,22411,0,5.33,0,
1.5109,0.392,11.98,0,-1.3,134.8,16585,0,5.33,0,
1.5109,0.392,12.11,0,-2.6,134.8,0,0,5.33,0,
1.5109,0.392,12.11,0,-2.6,134.8,3632,0,5.33,0,
1.5736,12.157,12.11,0.521,-1.3,134.8,3310,0,5.33,0,
1.558,7.451,11.98,1.302,6.5,134.8,3540,0,5.33,0,
1.605,20.784,11.98,1.953,25.8,134.8,8721,0,5.33,0,
1.746,56.863,11.33,1.693,58.1,134.8,18180,0,5.33,0,
1.5266,0.392,11.98,0,60.6,134.8,19784,0,5.33,0,
1.5109,0.392,11.98,1.042,36.1,134.8,24364,0,5.33,0,
1.7304,51.765,11.2,1.172,50.3,134.8,28396,0,5.33,0,
1.7539,58.431,11.2,1.302,36.1,134.8,28837,0,5.33,0,
1.5188,0.392,11.98,0,28.4,134.8,29675,0,5.29,0,
1.5658,21.569,11.98,1.302,31,140.2,33144,0,5.33,0,
1.6677,37.255,11.85,1.432,9,140.2,31507,0,5.33,0,
1.5109,0.392,11.98,0,15.5,140.2,32772,0,5.33,0,
1.5109,0.392,11.98,0,2.6,140.2,31851,0,5.33,0,
1.5109,0.392,11.98,0,1.3,140.2,30656,0,5.29,0,
1.5109,0.392,12.11,0,2.6,140.2,29632,0,5.33,0,
1.5109,0.392,12.11,0,1.3,140.2,29001,0,5.29,0,
1.5109,0.392,12.11,0,2.6,140.2,28006,0,5.33,0,
1.5109,0.392,12.11,0,2.6,140.2,27222,0,5.33,0,
1.5109,0.392,12.11,0,2.6,140.2,26344,0,5.33,0,
1.5109,0.392,12.11,0,2.6,140.2,25237,0,5.33,0,
1.5109,0.392,12.11,0,2.6,140.2,24480,0,5.33,0,
1.5109,0.392,12.11,0,2.6,140.2,23576,0,5.33,0,
1.5109,0.392,12.11,0,2.6,140.2,22436,0,5.33,0,
1.5109,0.392,12.11,0,2.6,140.2,21628,0,5.33,0,
1.5109,0.392,12.11,0,2.6,140.2,20437,0,5.33,0,
1.5109,0.392,12.11,0,2.6,140.2,19669,0,5.33,0,
1.5109,0.392,12.11,0,2.6,140.2,18561,0,5.33,0,
1.5109,0.392,12.11,0,2.6,140.2,17585,0,5.33,0,
1.5109,0.392,12.11,0,2.6,140.2,16901,0,5.33,0,
1.4718,0.392,12.11,0,2.6,140.2,15851,0,5.33,0,
1.1661,49.804,12.11,0,0,140.2,0,0,5.33,0,
1.1661,49.804,12.11,0,0,140.2,7186,0,5.33,0,
1.5031,0.392,12.11,0,-1.3,140.2,6650,0,5.33,0,
1.5109,0.392,12.11,0,0,140.2,5930,0,5.29,0,
1.5031,0.392,12.11,0,-1.3,140.2,5568,0,5.33,0,
1.5031,0.392,12.11,0,-1.3,140.2,4775,0,5.33,0,
1.5031,0.392,12.11,0,0,140.2,4367,0,5.29,0,
1.5031,0.392,12.11,0,-1.3,140.2,3468,0,5.33,0,
1.2993,24.706,12.11,0,-1.3,140.2,3468,0,5.33,0,
1.174,48.235,12.11,0,-1.3,140.2,0,0,5.29,0,
1.0878,63.922,12.11,0,-1.3,140.2,0,0,5.29,0,
1.5501,4.706,12.11,1.302,5.2,140.2,3916,0,5.33,0,
1.5423,2.745,12.11,0.781,2.6,140.2,3651,0,5.33,0,
1.5423,3.529,12.11,0.13,2.6,140.2,3651,0,5.33,0,
1.5736,12.157,12.11,1.953,14.2,134.8,3862,0,5.33,0,
1.5658,8.627,12.11,1.432,7.7,140.2,3472,0,5.29,0,
1.5658,8.627,12.11,1.172,5.2,140.2,4221,0,5.33,0,
1.5736,10.98,12.11,1.693,7.7,140.2,5376,0,5.33,0,
1.5815,12.941,12.11,1.562,10.3,140.2,7222,0,5.33,0,
1.5815,12.549,12.11,0.781,6.5,140.2,8923,0,5.33,0,
1.5736,11.765,12.11,0.781,6.5,134.8,9576,0,5.33,0,
1.5736,10.98,12.11,0.781,5.2,140.2,10142,0,5.33,0,
1.5658,8.627,12.11,0.521,5.2,140.2,10797,0,5.33,0,
1.5658,9.804,12.11,0.781,3.9,140.2,10774,0,5.33,0,
1.5736,11.765,12.11,0.651,5.2,140.2,11006,0,5.33,0,
1.5658,9.412,12.11,0.781,5.2,140.2,11444,0,5.33,0,
1.5971,17.647,12.11,1.042,9,140.2,12067,0,5.29,0,
1.605,18.824,12.11,1.302,11.6,140.2,13557,0,5.29,0,
1.605,19.608,12.11,1.432,12.9,140.2,15502,0,5.33,0,
1.605,19.608,12.11,1.432,16.8,140.2,18100,0,5.33,0,
1.5971,18.431,12.11,1.172,11.6,140.2,19334,0,5.33,0,
1.5893,15.686,12.11,1.302,9,140.2,19726,0,5.33,0,
1.5893,15.294,12.11,1.172,7.7,140.2,20075,0,5.33,0,
1.5971,17.255,12.11,1.302,9,140.2,20396,0,5.29,0,
1.5971,18.039,12.11,1.172,9,140.2,20940,0,5.33,0,
1.5893,16.471,12.11,1.172,7.7,140.2,21379,0,5.33,0,
1.5893,16.471,12.11,0.781,7.7,140.2,21267,0,5.33,0,
1.6442,29.02,11.98,1.693,19.4,140.2,22362,0,5.33,0,
1.6285,27.059,12.11,1.432,19.4,140.2,24219,0,5.33,0,
1.6207,24.706,12.11,1.432,16.8,140.2,25362,0,5.29,0,
1.6207,24.706,12.11,1.432,16.8,140.2,26378,0,5.29,0,
1.6207,24.706,12.11,1.432,16.8,140.2,27442,0,5.33,0,
1.6207,24.706,12.11,1.432,16.8,140.2,28122,0,5.33,0,
1.6207,24.706,12.11,1.432,16.8,140.2,28675,0,5.33,0,
1.6207,24.314,12.11,1.302,16.8,140.2,29292,0,5.33,0,
1.6207,24.706,12.11,1.432,15.5,140.2,29547,0,5.29,0,
1.6207,24.706,12.11,1.432,15.5,140.2,29250,0,5.29,0,
1.6285,26.667,12.11,1.302,19.4,140.2,30025,0,5.29,0,
1.6285,25.882,12.11,1.432,16.8,140.2,29719,0,5.33,0,
1.6285,25.882,12.11,1.432,16.8,140.2,29376,0,5.33,0,
1.6285,26.275,12.11,1.432,18.1,140.2,29167,0,5.33,0,
1.6363,27.059,11.98,1.302,18.1,140.2,29208,0,5.33,0,
1.6128,21.961,12.11,1.302,14.2,140.2,29125,0,5.33,0,
1.6285,25.49,11.98,1.432,16.8,140.2,28675,0,5.33,0,
1.6285,25.49,11.98,1.302,16.8,140.2,28475,0,5.33,0,
1.6207,24.314,11.98,1.302,16.8,140.2,28595,0,5.33,0,
1.5188,0.392,12.11,0.13,3.9,140.2,26829,0,5.33,0,
1.5109,0.392,12.11,0,2.6,140.2,25144,0,5.33,0,
1.5031,0.392,12.11,0,2.6,140.2,23494,0,5.33,0,
1.558,7.843,12.11,0.521,3.9,140.2,21977,0,5.33,0,
1.5501,5.882,12.11,0.26,2.6,140.2,19650,0,5.29,0,
1.558,7.451,12.11,0.391,3.9,140.2,17376,0,5.33,0,
1.5501,5.49,12.11,0.26,2.6,140.2,15180,0,5.33,0,
1.5736,10.588,12.11,0.651,6.5,140.2,12930,0,5.29,0,
1.5736,10.98,12.11,0.911,6.5,140.2,12255,0,5.29,0,
1.5893,14.51,12.11,1.172,6.5,140.2,11982,0,5.29,0,
1.5893,15.294,12.11,1.302,9,140.2,13223,0,5.29,0,
1.6442,29.412,11.98,1.693,25.8,140.2,16505,0,5.33,0,
1.652,32.941,11.98,1.693,28.4,140.2,21048,0,5.29,0,
1.699,43.922,11.59,1.302,40,140.2,26829,0,5.33,0,
1.7069,47.451,11.46,1.042,45.2,140.2,32614,0,5.29,0,
1.746,57.255,11.46,0.911,55.5,140.2,38963,0,5.33,0,
1.7382,54.118,11.46,0.911,47.7,140.2,42358,0,5.29,0,
1.7304,53.333,11.46,0.781,43.9,140.2,45471,0,5.33,0,
1.7382,54.51,11.33,0.781,41.3,140.2,48266,0,5.33,0,
1.7931,69.412,11.98,0.911,52.9,140.2,52083,0,5.33,0,
1.8636,87.843,12.89,1.042,87.7,140.2,62436,0,5.33,0,
1.8636,88.627,12.89,1.042,98.1,140.2,62628,0,5.33,0,
1.8636,87.451,12.37,2.213,73.5,140.2,67382,0,5.29,0,
1.8636,88.235,13.15,2.083,71,140.2,68056,0,5.29,0,
1.8636,89.02,12.24,1.562,67.1,140.2,69920,0,5.33,0,
1.8636,88.235,12.63,1.172,60.6,140.2,69444,0,5.33,0,
1.8636,87.451,12.63,1.823,63.2,140.2,71138,0,5.33,0,
1.8636,89.02,12.63,1.693,60.6,145.7,72657,0,5.33,0,
1.8636,88.627,12.37,1.562,58.1,140.2,73441,0,5.29,0,
1.8714,89.02,12.63,1.042,59.4,145.7,72657,0,5.29,0,
1.8714,89.412,12.37,1.562,58.1,145.7,72917,0,5.33,0,
1.8558,86.667,12.63,1.693,50.3,145.7,73441,0,5.29,0,
1.8558,86.667,12.5,0.781,49,145.7,75617,0,5.29,0,
1.1113,60.000,11.98,0,25.8,145.7,65021,0,5.33,0,
1.0878,63.922,11.98,0,-1.3,145.7,6341,0,5.33,0,
1.0878,63.922,11.98,0,-1.3,145.7,6341,0,5.33,0,
1.5031,0.392,11.98,0,-1.3,145.7,41080,0,5.29,0,
1.5031,0.392,11.98,0,-1.3,145.7,39414,0,5.33,0,
1.5031,0.392,11.98,0,-1.3,145.7,37462,0,5.33,0,
1.5031,0.392,11.98,0,-1.3,145.7,35945,0,5.29,0,
1.3385,18.431,11.98,0,-1.3,145.7,33525,0,5.33,0,
1.5031,0.392,11.98,0,-1.3,145.7,28435,0,5.29,0,
1.5031,0.392,11.98,0,-1.3,145.7,23307,0,5.33,0,
1.5031,0.392,11.98,0,-1.3,145.7,17258,0,5.29,0,
1.5031,0.392,11.98,0,-1.3,145.7,11856,0,5.29,0,
1.5109,0.392,11.98,0,-1.3,145.7,7793,0,5.33,0,
1.5188,0.392,11.98,0,-1.3,145.7,0,0,5.33,0,
1.5423,3.529,11.98,0.391,-1.3,145.7,0,0,5.33,0,
1.5815,12.549,11.98,1.693,5.2,145.7,2692,0,5.29,0,
1.5815,12.941,11.98,1.823,10.3,145.7,3479,0,5.33,0,
1.5658,9.804,11.98,1.302,7.7,145.7,6303,0,5.29,0,
1.5893,14.902,11.98,1.172,6.5,145.7,7349,0,5.29,0,
1.5893,14.51,11.98,0.911,7.7,145.7,8994,0,5.29,0,
1.5736,10.588,11.98,0.781,6.5,145.7,10535,0,5.33,0,
1.5188,0.392,11.98,0,2.6,145.7,10219,0,5.33,0,
1.605,19.608,11.98,1.562,11.6,145.7,10930,0,5.33,0,
1.6207,23.137,11.98,1.562,15.5,145.7,13648,0,5.33,0,
1.6442,28.627,11.98,1.693,20.6,145.7,16762,0,5.29,0,
1.6677,35.294,11.85,1.693,31,145.7,21537,0,5.29,0,
1.746,56.863,11.2,1.042,58.1,145.7,30748,0,5.33,0,
1.8087,73.725,12.5,2.083,91.6,145.7,45573,0,5.33,0,
1.8558,86.667,12.76,1.172,114.8,145.7,53168,0,5.33,0,
1.8558,86.667,12.89,2.734,108.4,145.7,58002,0,5.29,0,
1.8714,89.02,12.76,2.083,90.3,145.7,67160,0,5.33,0,
1.8636,88.627,12.24,1.693,87.7,145.7,65648,0,5.29,0,
1.8636,89.02,12.63,2.213,92.9,145.7,64610,0,5.29,0,
1.8636,89.02,12.63,1.693,77.4,145.7,70160,0,5.33,0,
1.8636,88.627,12.5,1.562,65.8,145.7,69920,0,5.33,0,
1.8714,89.412,12.24,1.432,63.2,145.7,72400,0,5.33,0,
1.8714,89.412,12.37,1.562,60.6,145.7,72917,0,5.29,0,
1.8714,89.804,12.24,1.432,59.4,145.7,72400,0,5.29,0,
1.8636,88.627,12.5,1.562,58.1,145.7,73706,0,5.33,0,
1.8558,85.882,12.5,1.562,47.7,145.7,72144,0,5.29,0,
1.8558,86.275,12.76,1.042,54.2,145.7,71637,0,5.29,0,
1.8636,88.235,12.11,1.302,56.8,145.7,71890,0,5.33,0,
1.8558,86.667,12.5,1.562,51.6,145.7,72400,0,5.33,0,
1.8558,85.098,12.24,1.562,56.8,151.2,68056,0,5.33,0,
1.8558,85.098,12.24,1.823,65.8,145.7,68056,0,5.33,0,
1.8479,83.137,12.37,1.562,65.8,151.2,69681,0,5.33,0
