Throttle,Power-Out,Voltage,Ripple,Current,Temperature,Speed,Gov.Gain,ECVoltage,MotorTemp.
1.8636,89.020,13.41,3.125,126.5,118.3,52893,0,5.33,1.93
1.8479,83.137,13.28,2.734,103.2,118.3,56400,0,5.33,1.93
1.8558,86.667,13.28,3.125,108.4,118.3,58167,0,5.33,1.93
1.8714,89.804,13.28,2.604,114.8,118.3,61128,0,5.33,1.93
1.8714,90.196,13.41,2.995,111.0,118.3,59524,0,5.29,1.93
1.8714,89.412,12.89,1.042,117.4,118.3,62246,0,5.33,1.93
1.6285,39.608,11.85,0.781,67.1,118.3,55631,0,5.33,1.93
1.4796,0.392,12.24,0.000,7.7,118.3,52217,0,5.33,1.93
1.3542,16.078,12.24,0.000,-3.9,118.3,43813,0,5.33,1.93
1.4874,0.392,12.24,0.000,-3.9,118.3,42010,0,5.33,1.93
1.5109,0.392,12.24,0.000,-2.6,118.3,39038,0,5.33,1.93
1.5266,0.392,12.24,0.130,-2.6,118.3,34960,0,5.33,1.93
1.5971,17.647,12.24,0.781,2.6,118.3,33470,0,5.33,1.93
1.5971,17.255,12.24,0.781,9.0,118.3,32614,0,5.29,1.93
1.5893,15.686,12.24,0.911,6.5,118.3,31076,0,5.29,1.93
1.6050,20.000,12.24,1.302,9.0,118.3,29980,0,5.33,1.93
1.6128,21.961,12.24,1.302,12.9,118.3,29167,0,5.33,1.93
1.6207,23.137,12.24,1.432,12.9,118.3,28515,0,5.29,1.93
1.6207,23.529,12.24,1.172,14.2,118.3,28200,0,5.33,1.93
1.7147,48.627,11.85,1.172,36.1,118.3,30981,0,5.33,1.93
1.7774,65.098,11.59,1.042,73.5,123.8,41667,0,5.33,1.93
1.7382,55.686,11.59,0.911,61.9,123.8,43440,0,5.29,1.93
1.7382,55.294,11.72,0.521,45.2,118.3,45573,0,5.33,1.93
1.7696,63.529,11.72,0.911,54.2,123.8,48727,0,5.33,1.93
1.8714,89.804,14.06,2.864,99.4,123.8,61869,0,5.33,1.93
1.8714,89.412,13.02,2.083,92.9,123.8,67382,0,5.33,1.93
1.5109,0.392,12.11,0.000,38.7,123.8,58002,0,5.33,1.93
1.5188,0.392,12.24,0.000,1.3,123.8,55631,0,5.33,1.93
1.4012,6.667,12.24,0.000,1.3,123.8,53728,0,5.33,1.93
1.1818,49.412,12.24,0.000,-2.6,123.8,6734,0,5.33,1.93
1.3464,18.431,12.24,0.000,-2.6,123.8,6481,0,5.33,1.93
1.4953,0.392,12.24,0.000,-1.3,123.8,36655,0,5.33,1.93
1.4874,0.392,12.24,0.000,-1.3,123.8,33915,0,5.33,1.93
1.4953,0.392,12.24,0.000,-1.3,123.8,25113,0,5.33,1.93
1.5109,0.392,12.24,0.000,-1.3,123.8,17171,0,5.33,1.93
1.5031,0.392,12.24,0.000,-1.3,123.8,20155,0,5.29,1.93
1.5423,1.176,12.24,0.000,-1.3,123.8,20175,0,5.33,1.93
1.6285,26.275,12.24,1.562,14.2,123.8,21290,0,5.33,1.93
1.6128,22.353,12.24,1.302,16.8,123.8,23254,0,5.29,1.93
1.6442,29.412,12.24,1.562,19.4,123.8,25394,0,5.29,1.93
1.6677,36.863,12.11,1.432,29.7,123.8,28595,0,5.29,1.93
1.5266,0.392,12.24,0.260,10.3,123.8,29334,0,5.33,1.93
1.5188,0.392,12.24,0.000,1.3,123.8,28396,0,5.33,1.93
1.4953,0.392,12.24,0.000,1.3,123.8,27259,0,5.33,1.93
1.5031,0.392,12.24,0.000,1.3,123.8,25175,0,5.33,1.93
1.4874,0.392,12.24,0.000,1.3,123.8,21290,0,5.33,1.93
1.5736,10.980,12.24,0.911,2.6,123.8,16360,0,5.33,1.93
1.5893,16.078,12.24,1.302,18.1,123.8,20295,0,5.29,1.93
1.5893,15.686,12.24,1.302,6.5,123.8,18311,0,5.33,1.93
1.6128,20.784,12.24,1.432,16.8,123.8,20036,0,5.33,1.93
1.6285,26.667,12.24,1.562,14.2,123.8,20295,0,5.33,1.93
1.6990,45.098,11.85,1.432,37.4,123.8,24959,0,5.29,1.93
1.8244,78.431,12.89,2.734,99.4,123.8,42358,0,5.33,1.93
1.8636,87.059,13.15,2.604,117.4,123.8,58002,0,5.29,1.93
1.8479,84.706,13.28,1.823,95.5,123.8,56244,0,5.29,1.93
1.8714,89.804,13.15,2.734,100.6,123.8,61496,0,5.29,1.93
1.5109,0.392,12.11,0.000,63.2,123.8,53307,0,5.33,1.93
1.2367,39.608,12.24,0.000,-1.3,123.8,8310,0,5.33,1.93
1.5109,0.392,12.24,0.000,-2.6,129.3,11687,0,5.29,1.93
1.5109,0.392,12.24,0.000,-2.6,123.8,37393,0,5.33,1.93
1.5031,0.392,12.24,0.000,-1.3,123.8,35569,0,5.33,1.93
1.4874,0.392,12.24,0.000,-1.3,129.3,32667,0,5.33,1.93
1.4874,0.392,12.24,0.000,-1.3,129.3,27042,0,5.29,1.93
1.4953,0.392,12.24,0.000,-1.3,129.3,20833,0,5.33,1.93
1.5109,0.392,12.24,0.000,-1.3,129.3,14080,0,5.33,1.93
1.5736,11.373,12.24,1.432,5.2,129.3,10038,0,5.33,1.93
1.6442,30.980,12.11,1.823,21.9,129.3,11084,0,5.33,1.93
1.6677,35.686,12.11,1.823,41.3,129.3,18213,0,5.33,1.93
1.6990,43.529,11.59,1.432,50.3,129.3,22992,0,5.33,1.93
1.7382,54.118,11.46,1.042,63.2,129.3,31802,0,5.33,1.93
1.7931,69.804,12.24,1.953,82.6,129.3,42010,0,5.33,1.93
1.8714,89.804,13.15,2.604,125.2,129.3,54444,0,5.29,1.93
1.8714,89.412,12.76,2.604,113.5,129.3,59524,0,5.29,1.93
1.5188,0.392,12.11,1.042,52.9,129.3,51427,0,5.33,1.93
1.0878,68.235,12.11,0.000,-1.3,129.3,25521,0,5.33,1.93
1.0878,68.235,12.11,0.000,-1.3,129.3,5485,0,5.33,1.93
1.2367,47.843,12.11,0.000,-1.3,129.3,0,0,5.33,1.93
1.4796,0.392,12.11,0.000,-1.3,129.3,26209,0,5.29,1.93
1.4796,0.392,12.11,0.000,-1.3,129.3,21743,0,5.33,1.93
1.4796,0.392,12.24,0.000,-1.3,129.3,14188,0,5.33,1.93
1.4874,0.392,12.11,0.000,-1.3,129.3,9348,0,5.33,1.93
1.5580,7.059,12.24,1.042,0.0,129.3,4224,0,5.33,1.93
1.5893,14.510,12.11,1.823,14.2,129.3,0,0,5.29,1.93
1.5736,10.588,12.11,1.172,6.5,129.3,5817,0,5.33,1.93
1.5109,0.392,12.24,0.000,3.9,129.3,6772,0,5.33,1.93
1.5188,0.392,12.24,0.000,2.6,129.3,6263,0,5.33,1.93
1.3229,22.353,12.24,0.000,2.6,129.3,5433,0,5.29,1.93
1.2367,38.039,12.24,0.000,1.3,129.3,4644,0,5.33,1.93